Date,PM2.5,date_x,temperature,dewpoint,humidity,wind_speed,pressure,date_y,PM10
2017-06-15,28.0,2017-06-15,30.897388059701484,22.53134328358211,61.537313432835816,2.9000885970149293,100785.97014925373,2017-06-15,57
2017-06-16,25.0,2017-06-16,31.01272727272725,23.607272727272736,65.85454545454546,3.2574314666666693,100690.42424242424,2017-06-16,55
2017-06-17,22.0,2017-06-17,31.711702127659567,24.369148936170216,65.5578947368421,3.850132000000003,100369.89583333331,2017-06-17,50
2017-06-18,16.0,2017-06-18,30.508333333333308,23.907291666666694,68.4375,3.392847333333333,100324.16666666669,2017-06-18,35
2017-06-19,19.0,2017-06-19,30.228078817733998,24.5743842364532,72.85714285714286,2.7558701176470617,100494.11764705883,2017-06-19,41
2017-06-20,23.0,2017-06-20,29.11653543307085,24.86299212598423,79.04724409448819,2.001472,100576.33858267717,2017-06-20,45
2017-06-21,18.0,2017-06-21,29.375098814229283,24.78537549407115,77.46640316205534,2.5301050434782657,100545.49407114623,2017-06-21,44
2017-06-22,18.0,2017-06-22,28.94229249011857,24.67905138339921,78.62845849802372,2.3944027826086938,100568.06324110672,2017-06-22,41
2017-06-23,13.0,2017-06-23,30.04463667820068,23.67543252595154,69.17301038062284,3.635719086505184,100471.90311418683,2017-06-23,32
2017-06-24,14.0,2017-06-24,29.30118577075099,23.738339920948626,72.60079051383399,3.3204646956521766,100372.80632411069,2017-06-24,32
2017-06-25,15.0,2017-06-25,30.161264822134385,23.60395256916998,68.18577075098814,3.393263304347826,100414.90118577077,2017-06-25,33
2017-06-26,15.0,2017-06-26,30.36203703703703,23.350462962962986,66.47222222222223,3.6344765925925904,100509.95370370374,2017-06-26,34
2017-06-27,16.0,2017-06-27,30.42490118577075,24.074308300395266,69.15415019762845,3.0110706086956536,100510.0,2017-06-27,36
2017-06-28,13.0,2017-06-28,29.63132530120483,24.21767068273094,74.18875502008031,2.3123996787148635,100548.83534136543,2017-06-28,29
2017-06-29,19.0,2017-06-29,29.046428571428557,25.190476190476183,80.44047619047619,1.7729038730158715,100541.11111111114,2017-06-29,37
2017-06-30,16.0,2017-06-30,28.56218487394959,24.947478991596647,81.26470588235293,2.00980168067227,100522.52100840336,2017-06-30,34
2017-07-01,17.0,2017-07-01,28.58994413407823,24.691061452513967,80.07262569832402,1.7821661675977647,100571.50837988828,2017-07-01,40
2017-07-02,18.0,2017-07-02,29.743157894736854,24.41894736842109,73.45263157894736,2.137321768421052,100507.36842105264,2017-07-02,40
2017-07-03,16.0,2017-07-03,28.815789473684212,24.037894736842127,76.0842105263158,2.6629466947368408,100510.52631578947,2017-07-03,40
2017-07-04,17.0,2017-07-04,28.177611940298508,24.46318407960197,81.13432835820895,2.0361448756218894,100617.36318407963,2017-07-04,43
2017-07-05,16.0,2017-07-05,28.83266932270918,24.876892430278932,80.04780876494023,2.663182916334666,100671.79282868524,2017-07-05,39
2017-07-06,15.0,2017-07-06,29.167054263565888,24.002325581395358,74.74418604651162,2.5077557829457406,100627.7906976744,2017-07-06,30
2017-07-07,11.0,2017-07-07,28.388844621513947,24.25976095617529,79.08366533864542,2.1263787091633533,100660.39840637447,2017-07-07,40
2017-07-08,16.0,2017-07-08,28.68818897637797,24.71889763779528,79.87007874015748,1.858032,100716.22047244094,2017-07-08,28
2017-07-09,13.0,2017-07-09,30.20040000000005,24.991200000000024,74.332,2.123261184000001,100751.76,2017-07-09,40
2017-07-10,18.0,2017-07-10,28.801195219123503,24.77848605577689,79.69721115537848,1.559296892430279,100695.05976095617,2017-07-10,41
2017-07-11,20.0,2017-07-11,29.358661417322825,24.48110236220471,75.44094488188976,2.243120000000004,100561.53543307088,2017-07-11,38
2017-07-12,20.0,2017-07-12,27.52371541501975,24.41660079051384,83.59683794466403,1.7397453913043497,100654.98023715414,2017-07-12,40
2017-07-13,17.0,2017-07-13,28.64291338582677,24.67440944881889,79.97637795275591,2.484240000000003,100620.0,2017-07-13,39
2017-07-14,18.0,2017-07-14,29.19288537549406,24.155731225296467,74.52173913043478,2.4355728695652177,100544.38735177867,2017-07-14,41
2017-07-15,21.0,2017-07-15,29.585770750988182,23.3790513833992,69.81422924901186,3.2188646956521763,100480.8695652174,2017-07-15,36
2017-07-16,18.0,2017-07-16,29.66825396825396,23.59484126984127,70.22619047619048,4.274199111111104,100295.23809523806,2017-07-16,37
2017-07-17,17.0,2017-07-17,28.777952755905535,24.1318897637795,76.29921259842521,3.6556960000000016,100302.32283464569,2017-07-17,39
2017-07-18,17.0,2017-07-18,29.365748031496075,24.648031496063012,76.05905511811024,2.6081440000000047,100644.05511811023,2017-07-18,32
2017-07-19,17.0,2017-07-19,28.056746031746034,24.82579365079365,83.0436507936508,2.2775978412698485,100693.17460317463,2017-07-19,36
2017-07-20,19.0,2017-07-20,27.55177865612649,24.184189723320173,82.50197628458498,2.9536445217391285,100556.12648221344,2017-07-20,36
2017-07-21,19.0,2017-07-21,28.918253968253985,23.284523809523808,71.94444444444444,2.331703873015877,100595.51587301587,2017-07-21,33
2017-07-22,14.0,2017-07-22,29.26679841897233,23.940711462450558,73.45849802371542,2.788257391304349,100677.47035573123,2017-07-22,31
2017-07-23,18.0,2017-07-23,29.73543307086616,23.627952755905515,70.8031496062992,3.612751999999999,100631.4566929134,2017-07-23,36
2017-07-24,18.0,2017-07-24,28.65823293172692,24.090763052208843,77.08032128514056,4.238441895582328,100522.61044176707,2017-07-24,34
2017-07-25,16.0,2017-07-25,29.453754940711466,24.07509881422924,73.20158102766798,4.7260786086956506,100278.9723320158,2017-07-25,30
