date,temperature,dewpoint,humidity,wind_speed,pressure
2017-06-15,30.897388059701484,22.531343283582107,61.53731343283582,2.9000885970149293,100785.97014925373
2017-06-16,31.012727272727258,23.607272727272736,65.85454545454546,3.2574314666666693,100690.42424242424
2017-06-17,31.71170212765957,24.369148936170216,65.5578947368421,3.8501320000000034,100369.89583333333
2017-06-18,30.508333333333308,23.90729166666669,68.4375,3.392847333333334,100324.16666666667
2017-06-19,30.228078817734005,24.5743842364532,72.85714285714286,2.7558701176470617,100494.11764705883
2017-06-20,29.11653543307085,24.86299212598423,79.04724409448819,2.001472,100576.33858267717
2017-06-21,29.37509881422928,24.785375494071147,77.46640316205534,2.5301050434782657,100545.49407114624
2017-06-22,28.942292490118575,24.67905138339921,78.62845849802372,2.394402782608694,100568.06324110672
2017-06-23,30.04463667820068,23.67543252595154,69.17301038062284,3.635719086505184,100471.90311418685
2017-06-24,29.301185770750983,23.738339920948626,72.60079051383399,3.320464695652177,100372.80632411067
2017-06-25,30.161264822134385,23.60395256916998,68.18577075098814,3.393263304347826,100414.90118577075
2017-06-26,30.362037037037027,23.350462962962983,66.47222222222223,3.6344765925925904,100509.95370370371
2017-06-27,30.424901185770743,24.074308300395263,69.15415019762845,3.011070608695654,100510.0
2017-06-28,29.63132530120483,24.21767068273094,74.18875502008032,2.3123996787148635,100548.83534136545
2017-06-29,29.04642857142856,25.190476190476186,80.44047619047619,1.7729038730158715,100541.11111111111
2017-06-30,28.562184873949587,24.94747899159664,81.26470588235294,2.00980168067227,100522.52100840336
2017-07-01,28.589944134078223,24.691061452513956,80.07262569832402,1.7821661675977647,100571.50837988827
2017-07-02,29.743157894736846,24.418947368421094,73.45263157894736,2.137321768421052,100507.36842105263
2017-07-03,28.81578947368421,24.037894736842134,76.08421052631579,2.662946694736841,100510.52631578948
2017-07-04,28.177611940298508,24.463184079601977,81.13432835820896,2.0361448756218894,100617.3631840796
2017-07-05,28.83266932270918,24.87689243027893,80.04780876494024,2.663182916334666,100671.79282868525
2017-07-06,29.167054263565888,24.002325581395358,74.74418604651163,2.507755782945741,100627.79069767441
2017-07-07,28.38884462151395,24.259760956175292,79.08366533864542,2.1263787091633533,100660.3984063745
2017-07-08,28.688188976377972,24.71889763779528,79.87007874015748,1.858032,100716.22047244094
2017-07-09,30.200400000000045,24.991200000000024,74.332,2.123261184000001,100751.76
2017-07-10,28.801195219123503,24.778486055776888,79.69721115537848,1.559296892430279,100695.05976095618
2017-07-11,29.358661417322832,24.48110236220471,75.44094488188976,2.2431200000000033,100561.53543307087
2017-07-12,27.523715415019748,24.416600790513833,83.59683794466403,1.7397453913043497,100654.98023715414
2017-07-13,28.64291338582677,24.67440944881889,79.97637795275591,2.484240000000003,100620.0
2017-07-14,29.19288537549406,24.155731225296467,74.52173913043478,2.4355728695652177,100544.38735177866
2017-07-15,29.585770750988186,23.379051383399197,69.81422924901186,3.2188646956521763,100480.86956521739
2017-07-16,29.66825396825396,23.594841269841268,70.22619047619048,4.274199111111104,100295.23809523809
2017-07-17,28.777952755905535,24.1318897637795,76.2992125984252,3.6556960000000016,100302.32283464567
2017-07-18,29.36574803149608,24.648031496063012,76.05905511811024,2.6081440000000047,100644.05511811023
2017-07-19,28.056746031746034,24.82579365079365,83.0436507936508,2.2775978412698485,100693.1746031746
2017-07-20,27.551778656126487,24.184189723320173,82.50197628458498,2.9536445217391285,100556.12648221344
2017-07-21,28.918253968253985,23.284523809523815,71.94444444444444,2.3317038730158766,100595.51587301587
2017-07-22,29.26679841897233,23.94071146245056,73.45849802371542,2.788257391304349,100677.47035573123
2017-07-23,29.735433070866158,23.62795275590551,70.80314960629921,3.612751999999999,100631.45669291339
2017-07-24,28.65823293172692,24.090763052208843,77.08032128514056,4.238441895582329,100522.61044176707
2017-07-25,29.453754940711462,24.075098814229236,73.20158102766798,4.7260786086956506,100278.97233201581
2017-07-26,28.213725490196083,23.563529411764687,76.11764705882354,5.3960357647058705,100209.45098039215
2017-07-27,29.029199999999992,23.623199999999997,73.156,4.589670271999991,100288.24
2017-07-28,28.576377952755898,24.209055118110243,77.86614173228347,3.1965119999999985,100481.88976377953
2017-07-29,29.572469635627545,24.56437246963562,74.7165991902834,2.204070089068827,100481.41700404858
2017-07-30,30.5566801619433,24.85668016194331,72.25101214574899,3.165658558704454,100375.78947368421
2017-07-31,30.794071146245074,24.74624505928853,70.6600790513834,3.6984166956521745,100436.16600790514
2017-08-01,30.71417322834643,24.760236220472443,71.23622047244095,3.342591999999999,100533.93700787402
2017-08-02,30.443200000000004,25.022799999999986,73.384,2.602488064000004,100487.44
2017-08-03,29.768897637795245,25.169685039370112,76.64566929133858,2.6922720000000036,100319.13385826771
2017-08-04,29.765748031496095,25.42204724409449,78.03937007874016,1.8476479999999986,100208.74015748031
2017-08-05,29.599200000000003,25.861600000000003,80.716,1.9490944000000017,100311.64
2017-08-06,29.03609958506224,24.863070539419088,78.45643153526972,1.6770492282157692,100567.59336099584
2017-08-07,28.932530120481957,25.129718875502014,80.46184738955823,1.7348383614457836,100715.10040160643
2017-08-08,29.334177215189857,25.519831223628714,80.59071729957806,1.5389870717299576,100734.2194092827
2017-08-09,30.00745098039217,24.95058823529412,75.41176470588235,2.549881098039222,100762.0
2017-08-10,30.901587301587302,24.333730158730155,69.0515873015873,2.8809244444444464,100672.61904761905
2017-08-11,30.5004,24.726000000000006,72.436,3.7091802879999975,100670.0
2017-08-12,30.85354330708663,23.928740157480306,67.44488188976378,3.275360000000003,100655.27559055119
