Date,PM2.5,temperature,dewpoint,humidity,wind_speed,pressure,PM10,traffic
2017-06-15,28.0,30.897388059701484,22.53134328358211,61.537313432835816,2.9000885970149293,100785.97014925373,57.0,3.3451388888888864
2017-06-16,25.0,31.01272727272725,23.607272727272736,65.85454545454546,3.2574314666666693,100690.42424242424,55.0,3.820833333333332
2017-06-17,22.0,31.711702127659567,24.369148936170216,65.5578947368421,3.850132000000003,100369.89583333331,50.0,1.9961805555555572
2017-06-18,16.0,30.508333333333308,23.907291666666694,68.4375,3.392847333333333,100324.16666666669,35.0,0.98611111111111
2017-06-19,19.0,30.228078817733998,24.5743842364532,72.85714285714286,2.7558701176470617,100494.11764705883,41.0,3.2208333333333323
2017-06-20,23.0,29.11653543307085,24.86299212598423,79.04724409448819,2.001472,100576.33858267717,45.0,3.59236111111111
2017-06-21,18.0,29.375098814229283,24.78537549407115,77.46640316205534,2.5301050434782657,100545.49407114623,44.0,3.8079861111111115
2017-06-22,18.0,28.94229249011857,24.67905138339921,78.62845849802372,2.3944027826086938,100568.06324110672,41.0,3.471527777777777
2017-06-23,13.0,30.04463667820068,23.67543252595154,69.17301038062284,3.6357190865051834,100471.90311418683,32.0,3.9746527777777794
2017-06-24,14.0,29.30118577075099,23.738339920948626,72.60079051383399,3.3204646956521766,100372.80632411069,32.0,2.241666666666669
2017-06-25,15.0,30.161264822134385,23.60395256916998,68.18577075098814,3.393263304347826,100414.90118577077,33.0,1.293728222996516
2017-06-26,15.0,30.36203703703703,23.350462962962986,66.47222222222223,3.6344765925925904,100509.95370370374,34.0,3.0805555555555597
2017-06-27,16.0,30.42490118577075,24.074308300395266,69.15415019762845,3.0110706086956536,100510.0,36.0,3.681403508771931
2017-06-28,13.0,29.63132530120483,24.21767068273094,74.18875502008031,2.3123996787148635,100548.83534136543,29.0,3.644244604316549
2017-06-29,19.0,29.046428571428557,25.190476190476183,80.44047619047619,1.7729038730158715,100541.11111111114,37.0,2.4962025316455687
2017-06-30,16.0,28.56218487394959,24.947478991596647,81.26470588235293,2.00980168067227,100522.52100840336,34.0,5.358762886597943
2017-07-01,17.0,28.58994413407823,24.691061452513967,80.07262569832402,1.7821661675977647,100571.50837988828,40.0,2.341811846689895
2017-07-02,18.0,29.743157894736854,24.41894736842109,73.45263157894736,2.1373217684210517,100507.36842105264,40.0,1.6086805555555554
2017-07-03,16.0,28.815789473684212,24.037894736842127,76.0842105263158,2.6629466947368408,100510.52631578947,40.0,3.922916666666668
2017-07-04,17.0,28.177611940298508,24.46318407960197,81.13432835820895,2.0361448756218894,100617.36318407963,43.0,4.354577464788728
2017-07-05,16.0,28.83266932270918,24.876892430278932,80.04780876494023,2.663182916334666,100671.79282868524,39.0,3.151736111111111
2017-07-06,15.0,29.167054263565888,24.002325581395358,74.74418604651162,2.5077557829457406,100627.7906976744,30.0,3.9739583333333295
2017-07-07,11.0,28.388844621513947,24.25976095617529,79.08366533864542,2.1263787091633533,100660.39840637447,40.0,4.39201388888889
2017-07-08,16.0,28.68818897637797,24.71889763779528,79.87007874015748,1.858032,100716.22047244094,28.0,1.1343749999999988
2017-07-09,13.0,30.20040000000005,24.991200000000024,74.332,2.123261184000001,100751.76,40.0,0.2756097560975613
2017-07-10,18.0,28.801195219123503,24.77848605577689,79.69721115537848,1.559296892430279,100695.05976095617,41.0,0.5524305555555554
2017-07-11,20.0,29.358661417322825,24.48110236220471,75.44094488188976,2.2431200000000038,100561.53543307088,38.0,2.820833333333335
2017-07-12,20.0,27.52371541501975,24.41660079051384,83.59683794466403,1.7397453913043497,100654.98023715414,40.0,3.4545138888888887
2017-07-13,17.0,28.64291338582677,24.67440944881889,79.97637795275591,2.484240000000003,100620.0,39.0,3.645486111111108
2017-07-14,18.0,29.19288537549406,24.155731225296467,74.52173913043478,2.4355728695652177,100544.38735177867,41.0,3.7715277777777785
2017-07-15,21.0,29.585770750988182,23.3790513833992,69.81422924901186,3.2188646956521763,100480.8695652174,36.0,2.5781249999999987
2017-07-16,18.0,29.66825396825396,23.59484126984127,70.22619047619048,4.274199111111104,100295.23809523806,37.0,1.0282229965156795
